LATITUDE,LONGITUDE
53.3737131,-1.4704939
53.3742428,-1.4677477
53.3745646,-1.467576
53.3758092,-1.4665675
53.3765066,-1.4645076
53.3750689,-1.4637029
53.3745968,-1.4630377
53.3738351,-1.4672971
53.37275319,-1.473253781
53.37296063,-1.473458358
53.37317601,-1.473573578
53.3734015,-1.473591359
53.37364231,-1.473555407
53.37382051,-1.473525778
53.37398259,-1.473544385
53.37424653,-1.473552796
53.37444054,-1.473323957
53.37461894,-1.472965559
53.37560366,-1.471516545
53.37612036,-1.471082224
53.37664992,-1.471201825
53.37702013,-1.471195299
53.37725988,-1.47097831
53.37737117,-1.470668778
53.37855999,-1.469833729
53.37852091,-1.469329573
53.37862204,-1.468927756
53.37876223,-1.468789212
53.37892666,-1.468780348
53.38020745,-1.46563088
53.37937367,-1.467046193
53.37962673,-1.465272589
53.37988833,-1.465201122
53.37988833,-1.465201122
53.37988744,-1.466035798
53.37989308,-1.466140205
53.37987924,-1.466296083
53.38021984,-1.466613191
53.38033388,-1.466708518
53.38051677,-1.466619881
53.38113146,-1.466989795
53.38123316,-1.467038024
53.38153622,-1.466477674
53.38158782,-1.466302653
53.38251095,-1.465818564
53.38298113,-1.465874184
53.38304442,-1.464368113
53.3835912,-1.462213339
53.38379501,-1.461524376
53.38384597,-1.461352135
53.38298303,-1.461404355
53.38298303,-1.461404355
53.38291056,-1.460939075
53.3834613,-1.46002664
53.38362895,-1.45980327
53.38581311,-1.454714986
53.38621015,-1.45366744
53.38611098,-1.452903798
53.38594202,-1.452053937
53.38519774,-1.450501035
53.38479571,-1.448931066
53.38508797,-1.447869498
53.3851793,-1.444602035
53.38518862,-1.443343417
53.38540872,-1.442138396
53.38572578,-1.441075194
53.3856506,-1.440157115
53.3856361,-1.43904574
53.38599026,-1.438096717
53.38607861,-1.437426907
53.38492453,-1.435473631
53.38398324,-1.434658524
53.38297012,-1.433734446
53.38192398,-1.432783435
53.381128,-1.432123754
53.38063728,-1.431370137
53.38040278,-1.43064398
53.37977442,-1.429375782
53.37932024,-1.428097859
53.37919253,-1.426740077
53.37901671,-1.425840758
53.37878959,-1.425212409
53.37832762,-1.424001417
53.37804731,-1.422887416
53.3780715,-1.421671331
53.3782049,-1.420396052
53.37826947,-1.41880314
53.37804084,-1.417608088
53.3777233,-1.416780466
53.37703922,-1.415331125
53.37666984,-1.41438555
53.37605681,-1.412757487
53.37565805,-1.411067507
53.3757031,-1.410168132
53.37632971,-1.408898639
53.37655397,-1.407053591
53.37645725,-1.406252134
53.37613565,-1.403222861
53.37618398,-1.402273186
53.37636517,-1.400760853
53.37640607,-1.400166605
53.37743334,-1.398656843
53.37824316,-1.397875269
53.38100842,-1.396609561
53.37858999,-1.396313222
53.37869475,-1.396037204
53.37875311,-1.395547361
53.37817551,-1.39563568
53.37706612,-1.395492728
53.37671546,-1.394930707
53.37637523,-1.394257027
53.37611516,-1.3937833
53.37543979,-1.392939858
53.37503768,-1.392648303
53.37422757,-1.392992764
53.37412369,-1.392746819
53.37403159,-1.392472579
53.37397218,-1.39224043
53.3737625,-1.391337675
53.37368077,-1.391044872
53.37332964,-1.389362175
53.37301738,-1.388437333
53.37267261,-1.387859733
53.37236904,-1.38740273
53.37193037,-1.386647191
53.37129225,-1.384238612
53.37134426,-1.383886647
53.37136579,-1.383646626
53.37142889,-1.383181869
53.37175257,-1.382472228
53.37206239,-1.38181243
53.37225243,-1.381315268
53.37238787,-1.380843675
53.37251624,-1.380530476
53.37265131,-1.380516489
53.37270608,-1.380542426
53.37280923,-1.380487769
53.3731075,-1.376916974
53.37292772,-1.376302878
53.37257667,-1.375566414
53.37227731,-1.374810359
53.37199514,-1.374156262
53.37175777,-1.373222757
53.37118279,-1.371136476
53.3709025,-1.370407782
53.37072501,-1.369237018
53.37060678,-1.368522852
53.37030124,-1.367414909
53.36898517,-1.36611688
53.36808508,-1.365690177
53.36624388,-1.364365021
53.36522829,-1.359931111
53.36471813,-1.358320201
53.36482523,-1.355891944
53.36469072,-1.355349272
53.36454581,-1.354807646
53.36403949,-1.354729893
53.36338281,-1.354596677
53.36304635,-1.354295832
53.36427269,-1.356283303
53.3668482,-1.347483118
53.36789268,-1.345138418
53.36833206,-1.344195529
53.36873653,-1.342446659
53.3687447,-1.340857846
53.36856747,-1.339618388
53.36834764,-1.338624182
53.3684188,-1.338571832
53.36845421,-1.339256635
53.36799767,-1.340508119
53.36719985,-1.340949285
53.36595425,-1.340984968
53.36496067,-1.34041126
53.36399461,-1.339441485
53.36351119,-1.338650392
53.36271968,-1.33759218
53.36187692,-1.336340439
53.36102966,-1.335171519
53.35998291,-1.333671155
53.35923555,-1.332494091
53.35747844,-1.329379586
53.35733834,-1.328541875
53.35728112,-1.327719808
53.35733332,-1.326855701
53.35740029,-1.326530527
53.35763753,-1.326285908
53.35787222,-1.325902098
53.35810425,-1.325983823
53.35849468,-1.325694973
53.35857755,-1.325477714
53.35869326,-1.325275331
53.35861794,-1.323463172
53.35858366,-1.321853415
53.35734894,-1.319659531
53.35678801,-1.318385893
53.3558338,-1.316753504
53.35465702,-1.315211726
53.3541172,-1.314270534
53.35349498,-1.312840122
53.35309341,-1.311609291
53.35258832,-1.310378397
53.35233763,-1.309444084
53.3525013,-1.308071638
53.35271578,-1.306759366
53.35274711,-1.30597618
53.35284857,-1.304620329
53.35301144,-1.303879936
53.35326826,-1.302705599
53.35342523,-1.301801622
53.35352721,-1.301237769
53.35374523,-1.300274269
53.35402738,-1.299512878
53.3542809,-1.299036171
53.35484646,-1.298337012
53.35569428,-1.29738956
53.35620952,-1.296472347
53.35675371,-1.295652379
53.35755461,-1.294709461
53.3580521,-1.294084313
53.35817648,-1.293928026
53.3626284,-1.286125352
53.36266626,-1.285915747
53.36258867,-1.285617433
53.36253554,-1.285095052
53.36254661,-1.284574554
53.36257088,-1.28407155
53.36257762,-1.283945941
53.3625704,-1.283482697
53.36257322,-1.283063481
53.36253624,-1.281924556
53.3625913,-1.2814736
53.3627307,-1.2803793
53.3627522,-1.2802613
53.3629453,-1.2803471
53.362999,-1.2804759
53.3630419,-1.2816989
53.3664536,-1.2782764
53.3690855,-1.2771076
